# Copyright (c) 2026 Joseph Potashnik.
# Licensed under the MIT License. See LICENSE.txt for details.
# Samples of Target Dyck2.txt #
Count	Sentence
56	
18	( )
23	[ ]
8	[ [ ] ]
6	[ ] [ ]
11	[ ] ( )
10	[ ( ) ]
21	( [ ] )
6	( ( ) )
18	( ) [ ]
18	( ) ( )
4	[ ( ) ] ( )
9	( [ ] ) ( )
14	[ ] ( ) ( )
3	[ [ ] ] [ ]
9	[ ] ( ( ) )
9	[ ] [ ( ) ]
11	( ) [ ( ) ]
8	[ [ ] [ ] ]
11	( [ ] [ ] )
10	[ [ ] ] ( )
15	[ ] ( ) [ ]
13	( ) [ ] ( )
8	[ ] [ [ ] ]
4	[ ( ) ( ) ]
11	( ( ) [ ] )
9	[ ( ) [ ] ]
8	( ) ( [ ] )
13	[ ( [ ] ) ]
8	( ( ) ) [ ]
6	( ) [ [ ] ]
13	[ ] [ ] [ ]
13	( ( ) ( ) )
7	( ( ( ) ) )
10	[ ( ) ] [ ]
30	( ) ( ) ( )
11	( ( [ ] ) )
12	[ ] ( [ ] )
12	[ ( ( ) ) ]
7	( ( ) ) ( )
16	[ [ ( ) ] ]
19	[ ] [ ] ( )
5	( [ ] ) [ ]
5	( ) ( ( ) )
11	[ [ ] ( ) ]
18	( ) [ ] [ ]
5	( [ [ ] ] )
10	( [ ( ) ] )
19	( ) ( ) [ ]
10	[ [ [ ] ] ]
7	( [ ] ( ) )
3	( ( [ ] [ ] ) )
7	[ ] [ ( ) [ ] ]
8	[ ] ( [ [ ] ] )
9	[ [ [ ] ] ] [ ]
14	[ ( ) ( ) [ ] ]
9	[ ] ( ( ) [ ] )
5	[ [ ] ] [ ( ) ]
5	( ( ) ( [ ] ) )
8	[ ( [ ] ) ( ) ]
14	( ) [ [ ( ) ] ]
15	[ ( ) ] ( ) [ ]
16	[ ] [ ( ) ] [ ]
9	[ ( ( ) ) ] [ ]
5	( ) ( [ ] [ ] )
6	( ( [ ] ) [ ] )
15	( ) [ ( ) ] ( )
5	( [ ( ) ] ) ( )
8	( ( ( ( ) ) ) )
4	[ ] [ ( [ ] ) ]
6	( ( ( ) ( ) ) )
7	( ( ( ) ) ( ) )
7	( ) ( ( [ ] ) )
7	( ) ( [ [ ] ] )
10	[ ( ( ) ) ( ) ]
8	( [ [ ] ] ) ( )
13	( ) [ ] [ ( ) ]
7	( [ ] [ ( ) ] )
10	[ ( ( ( ) ) ) ]
6	[ ( ( ) [ ] ) ]
10	( [ ] ) ( ) ( )
5	[ ] [ [ [ ] ] ]
8	( ) ( ( ) ( ) )
4	[ [ ( [ ] ) ] ]
12	( ) ( ) [ ( ) ]
45	[ ] ( ) ( ) ( )
7	[ ( ( ) ( ) ) ]
9	( ( ) ( ) ) ( )
12	( [ ] ( ) ( ) )
3	( ) [ [ ] ( ) ]
3	[ ( ) [ [ ] ] ]
9	( [ [ ] [ ] ] )
8	[ ] [ [ ] ( ) ]
8	( ( ) ( ( ) ) )
5	[ ( [ ] ) [ ] ]
6	( ( ( ) ) ) ( )
7	( ) ( ) ( [ ] )
8	( ( ) [ ( ) ] )
8	[ ( ( ) ) ] ( )
3	( ( [ [ ] ] ) )
3	( [ ] [ [ ] ] )
6	( ( [ ( ) ] ) )
3	[ [ ] ( ( ) ) ]
3	( [ ] ) [ ( ) ]
