# Copyright (c) 2026 Joseph Potashnik.
# Licensed under the MIT License. See LICENSE.txt for details.
# Samples of Target Dyck4.txt #
Count	Sentence
44	
11	( )
9	{ }
11	( ) [ ]
8	( { } )
7	{ } < >
7	{ { } }
13	( [ ] )
11	< > { }
8	{ < > }
9	< ( ) >
10	{ } [ ]
9	{ } { }
16	< < > >
13	( ( ) )
12	[ ] { }
3	< > < >
11	( ) ( )
10	[ ] < >
12	< [ ] >
16	[ ( ) ]
12	[ [ ] ]
12	[ ] ( )
10	[ < > ]
9	< > ( )
11	[ ] [ ]
13	{ ( ) }
8	< { } >
9	[ { } ]
9	( ) < >
17	< > [ ]
12	{ [ ] }
9	( ) { }
8	( ) { } { }
10	{ } [ ] ( )
6	( ( ) [ ] )
10	< [ < > ] >
10	[ ( ) { } ]
14	[ ] { } ( )
14	{ } { } [ ]
3	[ ( [ ] ) ]
11	( [ ] { } )
8	{ ( ) } [ ]
9	{ < [ ] > }
4	[ ( ) ( ) ]
5	( { } ) { }
5	[ ( ) ] { }
3	< > { [ ] }
6	[ ( < > ) ]
10	[ [ ] ( ) ]
5	[ [ ] ] [ ]
5	[ < > ( ) ]
7	{ } ( { } )
12	( ) { { } }
6	{ [ ] < > }
7	( { < > } )
4	{ } { [ ] }
4	{ < ( ) > }
8	{ ( ) [ ] }
4	{ } [ [ ] ]
4	< { } { } >
10	( < > ) { }
7	{ } < [ ] >
4	( [ { } ] )
7	{ ( ) } < >
12	{ < > } { }
9	( ) ( [ ] )
11	[ { } ] < >
12	[ ] < { } >
12	[ ] < [ ] >
4	[ [ ] ] ( )
14	{ } { } < >
16	< > ( ) < >
8	( < { } > )
7	( { } ( ) )
12	{ } < > < >
7	( { [ ] } )
5	< > { ( ) }
8	{ ( ( ) ) }
2	< { ( ) } >
4	{ < > } ( )
5	( < ( ) > )
4	< { } > { }
5	[ [ { } ] ]
8	< < > [ ] >
7	< > < ( ) >
6	[ [ [ ] ] ]
5	[ ( { } ) ]
6	{ { } } [ ]
9	[ [ ( ) ] ]
10	[ < > < > ]
10	< [ ] > ( )
9	( < [ ] > )
14	[ ] [ ] [ ]
7	{ } ( ( ) )
4	{ { } < > }
10	( [ ( ) ] )
9	( ) < > < >
9	( < > ) < >
6	{ } < { } >
9	{ } [ { } ]
8	( ) [ { } ]
11	[ { } { } ]
13	[ ] ( ) [ ]
6	[ ] [ [ ] ]
11	{ } < > [ ]
4	[ ] ( [ ] )
5	( < > ) [ ]
6	[ ( ) ] < >
8	{ [ { } ] }
3	[ [ ] ] { }
7	( [ ] [ ] )
9	{ [ ] { } }
5	< [ [ ] ] >
9	( [ ] ) { }
6	< { [ ] } >
2	{ } < < > >
8	[ < [ ] > ]
4	[ < { } > ]
8	< [ ( ) ] >
5	[ < > [ ] ]
4	{ } { { } }
