# Copyright (c) 2026 Joseph Potashnik. Submitted for peer review to JMLR. Do not distribute or use without permission.
# Samples of Target Dyck4.txt #
Count	Sentence
27	
19	< >
15	{ }
18	[ ]
15	( )
15	{ } [ ]
8	[ ] { }
9	[ ( ) ]
7	{ } { }
9	{ ( ) }
12	{ [ ] }
10	( { } )
4	[ ] [ ]
6	< ( ) >
4	( ) ( )
9	{ } ( )
6	< { } >
12	{ { } }
12	< > [ ]
13	[ ] ( )
9	[ { } ]
6	< < > >
17	( ( ) )
8	{ < > }
9	( ) < >
13	{ } < >
12	( < > )
7	( [ ] )
14	< [ ] >
7	[ [ ] ]
9	< > < >
4	< > ( )
5	( ) { }
5	( ) [ ]
8	[ < > ]
14	< > { }
8	[ ] < >
8	{ [ ] ( ) }
7	< < > { } >
14	( ) ( ) { }
4	{ { } [ ] }
2	[ ] ( ( ) )
6	< < { } > >
6	[ ( ) ] { }
9	[ < > [ ] ]
6	< ( { } ) >
7	[ < > ] < >
8	< < > [ ] >
3	< < > < > >
8	[ ( { } ) ]
8	( { { } } )
7	[ ] < ( ) >
7	( [ ] ) { }
10	< [ < > ] >
15	{ } [ ] [ ]
6	[ < > ] { }
7	( ) ( < > )
9	< > ( { } )
5	{ } < < > >
6	( ) < ( ) >
7	{ < { } > }
5	[ ] < { } >
17	( ) [ ] ( )
3	< > { { } }
7	( ) { } ( )
6	< > [ [ ] ]
4	< [ { } ] >
6	[ { } ] ( )
6	( < > ) [ ]
9	[ < > ] ( )
5	< { } { } >
6	< { } > [ ]
8	< ( ) [ ] >
6	[ ] < [ ] >
12	( ) { [ ] }
9	[ ] [ < > ]
10	< > ( [ ] )
6	{ [ ( ) ] }
8	{ } { < > }
5	( ) ( [ ] )
7	{ { [ ] } }
6	( ) [ ] < >
13	{ } [ { } ]
13	{ } { } ( )
3	< ( ) > [ ]
9	< < > > { }
11	{ ( ) ( ) }
8	{ } < > ( )
8	( { [ ] } )
9	[ < > < > ]
8	( [ ] ) < >
10	< { ( ) } >
19	[ ] [ ] ( )
11	( ) ( ( ) )
6	< [ ] > ( )
11	[ { < > } ]
4	< { } [ ] >
11	< [ [ ] ] >
8	[ { [ ] } ]
11	( [ [ ] ] )
6	( ( { } ) )
9	( ) [ [ ] ]
6	[ ] { [ ] }
6	( [ ] ( ) )
8	{ { { } } }
9	{ { ( ) } }
2	< { } ( ) >
4	< [ ] < > >
9	< ( ) > < >
6	( { } ) < >
4	< { [ ] } >
9	< ( ) > ( )
4	< > { ( ) }
2	{ < ( ) > }
5	[ < > { } ]
5	{ [ ] [ ] }
5	( ( ) ) ( )
7	< > < [ ] >
5	{ [ ] < > }
4	[ [ ] ] [ ]
3	( ) { ( ) }
5	< [ ( ) ] >
9	( [ ] < > )
6	{ { } } ( )
9	[ < ( ) > ]
4	{ < < > > }
2	{ ( [ ] ) }
6	[ ] < < > >
6	< { } < > >
8	< { } > < >
2	{ < > } [ ]
5	( ) ( { } )
2	< > [ ( ) ]
3	( < < > > )
2	[ [ ] < > ]
4	( ( ) ) { }
5	( ( ) ( ) )
4	{ ( < > ) }
6	[ < > ] [ ]
9	( ) < < > >
8	( < > [ ] )
2	( [ ] ) ( )
3	{ < > { } }
4	{ < > ( ) }
3	{ { } } < >
5	{ { } { } }
4	< ( ) ( ) >
4	{ } ( [ ] )
6	( [ ] [ ] )
5	< ( ) { } >
3	< [ ] > { }
12	[ ] { } ( )
5	< < > ( ) >
5	( { } ) [ ]
6	{ [ ] { } }
17	{ } { } [ ]
8	[ ] < > { }
5	< { < > } >
6	{ { } } { }
8	< [ ] [ ] >
7	{ } ( ) [ ]
7	{ [ ] } { }
7	[ ( [ ] ) ]
7	[ ] ( [ ] )
4	[ { } ] < >
9	{ [ { } ] }
2	< > < { } >
6	< ( ) < > >
8	{ } ( ( ) )
4	< > { [ ] }
5	( ( [ ] ) )
9	< > [ < > ]
7	{ } [ < > ]
9	< ( < > ) >
6	{ ( ) } ( )
5	( [ ] { } )
4	[ ] { { } }
6	[ [ < > ] ]
12	[ ] [ ] { }
2	[ { } [ ] ]
4	[ { ( ) } ]
5	[ [ ] { } ]
5	< { } > ( )
4	{ } < ( ) >
6	( < > < > )
3	[ ( ) ] [ ]
2	< [ ] { } >
9	( { } < > )
6	( < > ) ( )
7	< < ( ) > >
4	{ } { [ ] }
6	{ < > } ( )
7	< > < > < >
9	( { } ) ( )
10	[ ] ( ) [ ]
10	[ [ ] ] { }
7	{ < > } < >
10	{ ( ) } [ ]
7	< { } > { }
7	[ ( ) { } ]
9	< < > > < >
9	[ { } < > ]
6	( < > ) < >
10	{ { } < > }
6	( ( ) [ ] )
20	( ) { } < >
11	< [ ] > [ ]
7	( [ { } ] )
19	{ } { } { }
21	< > ( ) < >
19	( ) < > ( )
7	< < > > [ ]
6	( ( ) < > )
3	{ < > < > }
9	[ ] { } [ ]
13	< > ( ) ( )
