# Copyright (c) 2026 Joseph Potashnik. Submitted for peer review to JMLR. Do not distribute or use without permission.
# Samples of Target EnglishFragmentPPAdjunction1.txt #
Count	Sentence
17	Mary fell
22	Mary hated David
11	the bells fell
7	Who arrived for John
11	the child hated David
13	Who hated a woman
11	John fell from David
6	Mary knows David fell
9	David went for a child
9	the man arrived for Mary
10	a man says Who ran
6	the woman fell from Mary
8	the woman hated the woman
11	David knows Mary loved Mary
4	John fell to the girl
15	John hated Who from Mary
9	Who says the man ran
6	a woman knows Who hated Who
9	a girl went from the girl
5	Mary says John arrived for Mary
7	John toll for David from John
17	John says David fell to David
6	John knows the bells loved Mary
17	Mary says Mary knows Mary ran
3	a girl knows the woman fell
9	Mary knows Who loved a bells
5	a child hated Who for Who
6	Who ran from Mary for David
4	a woman ran to the woman
3	Who hated a woman from John
13	John kissed John from the man
6	Mary says Who arrived to the child
8	Who knows a girl went from John
6	David kissed David to David from Mary
5	David went for a woman from Who
8	a girl knows Mary loved a bells
12	John says the child cried for John
22	David says David loved Who for John
2	the bells toll for Who for Who
6	David says Who says a bells fell
9	a man ran to David for Who
12	Mary says John cried from a girl
4	a man knows Who says Mary fell
9	Mary loved a girl to the woman
8	Mary says Who says Who kissed John
6	a bells knows David arrived for Mary
8	the woman knows the child hated David
8	Who knows a bells kissed a man
12	David ran to a girl to John
6	the child kissed David from a bells
6	a girl loved a girl to Who
18	the girl knows Mary ran from Mary
6	Mary toll to Who for the woman
7	David says a child knows Who cried
9	Mary fell for Who for a girl
18	Who knows Mary says Who ran for Who
3	Mary knows Mary says David says Mary fell
5	a child ran from Who for the bells
4	Who loved the bells for Who from Mary
16	Who says Mary hated the girl from David
9	David says a woman hated Who for John
4	a man knows the woman toll from Who
10	John knows the man fell to the girl
5	Who knows John knows Who hated the child
13	a girl says John fell for a man
10	John says John says a girl hated Mary
7	Mary knows David toll for John to Mary
3	Mary went for a man to a bells
19	David says John cried from Who for John
7	John hated John from the girl for John
7	a woman says David says a woman fell
4	a girl knows John knows David loved Who
10	David arrived for David for Who from Who
6	the girl says John toll to a bells
14	the child says the child cried from David
6	the man kissed Who to Who from Who
4	David cried from David to Who for John
11	the bells knows Mary loved David for John
9	a child toll from Mary to the girl
5	Who kissed David for John to a bells
2	David says the man arrived from a bells
7	Mary says a woman knows a girl fell
