# Copyright (c) 2026 Joseph Potashnik. Submitted for peer review to JMLR. Do not distribute or use without permission.
# Samples of Target EnglishFragmentPPAdjunction3SingleVerbalCat.txt #
Count	Sentence
25	David arrived
10	the child knows
7	John cried Who
12	Who toll Mary kissed
9	Who went a man
22	David knows for John
14	a woman hated David
6	John to John arrived
6	the child for Mary knows
11	Mary from Who went Mary
14	Who loved David from Mary
6	David says the child ran
20	the child fell from John
6	a bells went the child
13	a woman loved Mary arrived
8	John toll John went Mary
5	John from a child fell
18	David toll to a bells
12	Who from John for Who says
14	the child knows to a child
14	Mary says a girl to David
17	John for David cried for Who
31	John cried for Who to John
14	David hated John says the girl
17	John kissed Mary ran for Who
9	a child knows David fell David
14	Mary to David went Who loved
7	a girl to Mary fell Who
6	Who to David fell the woman
19	the woman arrived John from John
6	Who ran the woman toll David
10	the woman from a man ran
9	Who cried John cried Mary went
14	David ran Mary from a woman
5	Who went David to Who cried
10	David from the woman toll David
7	a woman kissed a child knows
22	John arrived the girl for the woman
13	David kissed Who from Mary knows David
9	a bells ran Mary for the child
8	David ran a man to Mary went
29	the child ran to John from David
17	the woman kissed Mary hated from Who
15	Who to David to the girl hated
27	Who arrived the man cried from Who
12	David from the girl for Who toll
5	Mary for Who loved Mary toll Mary
15	a child to Mary to David says
4	a woman knows Who fell John ran
6	the man went John for Mary knows
3	Mary toll Mary for the girl loved
10	Who for the girl toll Who fell
12	a woman went a woman to Who
8	the man cried David hated the child
10	John from John to Who loved Who
7	David toll Who kissed John says Mary
6	John loved John hated a man says
27	David knows for David from a man
7	the woman arrived the woman loved David
6	Mary from David arrived a bells ran
18	Mary cried Mary fell Who to David
10	John fell a man loved Mary knows
14	John to Who arrived John for David
8	a child from John says for David
9	John for the man arrived to John
7	Who for a girl fell a child
6	John hated the bells cried a man
10	a man from Who toll a man
10	a child from David hated Mary ran
10	a girl for a child fell John
31	Who hated for the girl for Mary
18	Who to Who says to the girl
23	Mary ran David toll to the child
37	David hated David for Who from Who
25	John from Who kissed from Mary to John
17	Who knows a bells knows for the girl
8	Who from David from a woman fell David
7	the man for Who arrived John loved Mary
6	Mary toll David arrived the child says Mary
5	David knows a bells from Mary arrived David
23	Mary for David from David went for Who
7	a woman cried a woman says Mary arrived
29	the bells toll from Mary for a child
36	John loved Who for a bells for Who
32	David for Mary from David from Who knows
9	John kissed a woman cried David loved Who
13	Who for Mary says David for the bells
11	the child to a girl from Who says
5	David from Who kissed Who arrived the woman
6	David went David for David fell a man
2	David to David cried Who to John arrived
20	the bells went the man arrived for David
7	a man from a man hated from David
8	Mary for Who from David arrived Mary went
22	David says to a girl to a bells
6	Who says Mary loved Who loved Mary cried
5	a girl for David says a man says
16	the girl from Mary cried for the child
5	the man for a girl toll David knows
57	Who cried for Mary for John to John
55	John arrived John went from Mary from Who
12	a child hated John hated Who from Mary
16	Who ran John for Mary fell from Mary
13	the man loved the bells from the girl
13	David from the man went for the child
4	a child for the child hated the girl
21	David loved John for John from the woman
21	Who cried Mary fell a child from David
4	a man arrived David knows Who arrived Mary
9	Mary from Who from Mary kissed a bells
8	Mary went Mary from Mary says Mary says
10	John from a man to a woman went
14	the bells for Mary to a child kissed
8	John went a woman fell a girl ran
17	Who kissed a woman arrived David for John
26	the bells cried for the woman for Mary
21	the girl hated Who to John to David
5	Mary hated John arrived Who to Who ran
6	Who went the woman for the bells loved
4	David from Mary cried David knows David went
14	Who from David kissed a bells for David
4	Mary to a woman hated Who says Mary
22	David says Mary kissed Mary went to Who
6	a bells says Mary to the child fell
31	John cried the bells to Mary from John
3	Who says John cried Who loved a man
4	the girl toll David to Mary ran Who
15	a man for Mary from David went Who
11	Who for the woman cried Who to Mary
7	David to Who arrived a bells says Mary
9	the bells ran John says a girl went
10	the woman to John hated John from David
15	Who to a woman from Who arrived David
6	a child loved a woman to Who ran
11	the girl knows the child went a girl
4	David fell Mary to a woman knows David
14	Who for Mary arrived Who fell from David
9	Who loved Who for Who for David knows
23	Who loved David cried John from the bells
10	Who from the man ran a man says
14	a child fell Mary ran from the woman
25	Who to Who arrived Who toll from the woman
5	Who hated the man to the bells hated Who
3	the child kissed Who for Mary kissed the man
12	Who kissed David from David from the bells went
28	a woman arrived David for John from a bells
72	David loved Mary from David for Mary from David
9	John fell Who from David kissed John to David
23	Mary from John to a child to John cried
10	Who to a man fell for Who for John
12	the man from the bells kissed for a girl
5	John from Who kissed Mary fell Who cried Mary
23	Who hated Who cried David fell David from John
13	Mary from Mary from Who fell John fell John
23	Who cried Mary for David loved from a child
7	the girl to Who knows Mary fell John fell
7	the man fell the child for a man went
11	Mary arrived the bells for Who arrived for Mary
11	the man for Who knows the girl from Who
16	a child for John from Mary kissed Mary arrived
2	Who ran John says David hated the child toll
7	the man hated David says David cried Who says
26	Who for the man for David loved from Mary
31	the woman kissed David from the girl from David
10	the man for John knows Mary for a girl
21	a bells to John fell from Who to Who
11	David to John toll the girl to the bells
10	the girl to a woman hated Mary for Mary
3	Mary fell the girl from John fell a girl
24	Mary cried David to a child knows from John
18	a woman cried Who to Mary cried to John
20	the child arrived Mary arrived John went from Who
35	the child for Who to Mary to David cried
2	the man toll Mary to Mary cried David knows
11	David from a woman cried Who to the bells
15	Mary from the girl went a bells from Who
2	the girl kissed a man cried the man says
5	the man from Who fell David from John ran
9	Mary to Mary kissed the woman arrived Who cried
33	John cried a man from Who for the woman
3	David went John arrived the child from Who ran
47	Who cried for John from Mary from a woman
16	Mary kissed the woman says John says from Who
4	a bells for Mary says a woman cried John
36	David went the man for the child from John
7	Who knows Mary kissed David from a child kissed
43	David knows John cried from Who from a man
20	the bells for David to Mary hated to John
9	a bells from the man for Who cried David
4	David hated David for the woman went John says
33	John for John says Who from Mary for Mary
15	John for Who knows the bells toll to David
16	Who fell the bells kissed the man to John
24	Mary hated Who loved Mary arrived for the child
5	the man went David loved Mary for Mary cried
14	John from Who from the girl toll Who went
16	a woman kissed the child says from the bells
8	Mary ran the woman went a bells fell John
11	Mary from the man for the woman kissed Who
3	John hated a child from David says David arrived
9	the man from a child from a child knows
19	John from David from John ran from a child
8	David from a child for Who arrived a man
5	David for Who cried a woman knows the man
44	a bells went Who cried to Mary for Who
7	Who from Mary loved David to John hated John
4	Mary to a bells kissed John to John ran
6	David knows the woman hated David to John ran
38	David knows Mary knows from the bells from Who
