# Copyright (c) 2026 Joseph Potashnik. Submitted for peer review to JMLR. Do not distribute or use without permission.
# Samples of Target EnglishFragmentWithADJAmbiguousPPAdunctionSingleCat.txt #
Count	Sentence
19	Who arrived
11	David loved John
13	the bells knows
11	David kissed the child
10	a child fell Who
10	Mary arrived Who loved
17	Mary kissed for Mary
10	a cheap bells kissed
10	Who for John says
6	the big pretty woman went
9	John for a girl loved
9	Mary loved Mary from Mary
13	David went Mary hated John
12	the pretty child kissed Who
9	Who from Who went David
9	Who hated for the child
15	David ran the pretty man
23	a child hated for John
8	the woman from Who knows
7	a man knows a woman
7	a man kissed John ran
6	John toll the bells kissed
4	a girl fell a big child
19	David ran John arrived for John
7	the pretty woman for John arrived
7	Who to a bells knows Mary
12	David to the cheap bells kissed
11	a bells loved Mary from David
10	Who went David hated a bells
5	a cheap big bells went John
8	Who toll John fell John says
17	John for Mary to John knows
15	the girl says from the bells
8	the child cried the woman kissed
6	the man for Mary knows John
7	Mary says the girl ran David
19	John went to the pretty girl
28	John knows to Mary for Who
6	David fell a cheap girl toll
3	David arrived John for Who fell
3	the big pretty cheap man ran
9	Who from Who arrived Mary fell
11	a pretty girl went to Mary
5	a woman to a child knows
6	Mary loved a cheap cheap man
3	the cheap bells says the girl
18	Who toll David for the woman
8	the child fell John went Who
5	the pretty bells kissed Who toll
13	John from David loved a woman
9	John fell the woman from David
7	Mary from Who cried to Who
10	David for Mary says from a woman
12	the pretty cheap man ran to David
20	Mary kissed Who went David from David
5	John to Who from Who cried John
5	Mary says David ran the cheap bells
14	a man kissed a girl from David
7	a pretty cheap bells fell the child
10	Who from the woman from John ran
25	Mary toll for David to a man
9	the woman kissed to a pretty girl
11	a cheap girl loved John to David
5	the pretty bells from the bells fell
4	the cheap pretty cheap child toll John
4	Mary loved Mary says Who loved John
5	the woman hated the pretty girl ran
5	Mary cried the pretty pretty pretty child
4	the cheap girl says David kissed Who
9	John fell Mary to a child hated
7	a cheap man kissed a cheap man
9	the girl ran David for a child
21	John loved Who toll for the bells
30	David kissed Who from John for Who
2	a man for Mary cried Mary loved
3	the big big bells to Who hated
10	a child knows John says John arrived
6	Who to the child says a woman
18	John from a girl arrived to David
6	John hated a pretty pretty bells loved
7	David from David arrived a child kissed
7	John toll the man for David knows
5	Mary for the cheap pretty man loved
14	David toll to a big pretty child
2	John toll the woman ran David loved
9	a cheap pretty bells toll John knows
13	the pretty girl kissed from the woman
10	Mary kissed the pretty man for John
4	Mary ran John from David ran John
6	a woman knows David from John ran
7	Mary to a child says Mary says
15	the man for Who knows to Mary
14	John for Mary kissed John for David
9	the pretty child to David ran John
7	Mary kissed Mary to the pretty man
6	a girl ran the girl ran Who
3	the child to the child knows David
11	the girl to a big woman says
11	David hated a man toll to Mary
6	a woman to Mary loved the man
5	Mary to David cried Who says Mary
9	Mary for John says a cheap child
6	John says a man went a girl
2	the pretty cheap big big girl fell
12	David for Who for the girl toll
13	John hated the woman from a child
14	a woman from Mary to Mary knows
15	the child cried David fell from Mary
15	Mary cried a pretty girl cried Who
5	John arrived Who went the woman fell
13	Who to a pretty man cried John
2	a man knows Who toll a man
14	the woman knows from Who for Mary
26	Mary says to the man for John
6	a big bells says the girl kissed
7	a child kissed a cheap cheap man
5	the cheap big child for a man kissed
3	the cheap pretty woman for David cried Mary
14	the cheap girl to David fell from Mary
26	a cheap girl hated for David from David
7	Who for Mary kissed Who ran David fell
6	a man toll Who for a bells knows
3	David for Mary cried Who loved the bells
15	Who knows from a big bells to David
13	a girl arrived the child to a woman
8	a child ran David to David toll Who
26	David from Mary to David went for Mary
19	the pretty pretty bells arrived David for Mary
6	Who ran Mary arrived Who arrived David knows
15	David from Who for Who knows David arrived
7	a child toll John loved a man hated
8	a pretty bells cried Who from a man
11	Mary says a child to a pretty man
2	John cried a child from John ran John
7	Who to the pretty big bells says John
24	Mary fell to the woman for a girl
15	Mary for the girl fell to a girl
15	John says John for David for David toll
6	David for Mary toll a child fell John
5	Who loved the woman fell a bells toll
10	a cheap bells ran the child to Who
5	a child says the pretty bells knows Mary
7	the big bells says the big big bells
13	the man cried Mary arrived from the child
8	David cried the girl fell the big girl
5	John toll the girl cried Who loved Mary
15	David from a man to Who toll John
6	John from the man hated a bells loved
9	Mary from a cheap man kissed the child
7	David went a big woman to Mary arrived
7	the bells arrived the bells to Who went
2	John loved the cheap big big man cried
13	the child for John toll John to David
10	a big bells cried John loved Mary knows
4	Who knows the big bells arrived John ran
8	a cheap man for John knows John fell
11	the big cheap big woman says for Who
10	Who to a woman from the man went
18	David from John went Who went from David
4	Who cried John for David knows Mary ran
5	the cheap cheap big woman for Who fell
20	Mary cried Who went the bells for David
4	Mary ran a big big child toll Who
10	John knows the child went Who for John
3	the girl kissed the pretty pretty cheap child
9	Mary to Mary from David kissed a man
8	the girl knows a pretty cheap woman says
3	Mary fell John to a big child knows
19	Who ran Mary from David ran to Mary
26	Mary says the woman from David for David
11	John ran a big pretty woman from Mary
7	a cheap bells for the cheap girl fell
6	the woman from the woman toll to John
7	Mary toll the girl to the bells loved
11	the man for the big child went John
56	David says to David from Who for David
7	a big pretty girl fell the woman knows
25	Who says Mary from a child from Mary
18	Mary cried a bells says to a man
10	John for a child toll the big man
4	the woman loved Who fell the big child
7	the bells went Mary toll Who ran John
7	the cheap big child loved David says David
9	a man says John to a cheap woman
27	Who to David to Mary for Who loved
6	a woman for the girl toll the child
9	David knows the cheap big big big girl
11	Mary to Who kissed for a cheap bells
6	Who hated the big child arrived a man
12	John for the pretty girl fell David went
3	John from Who cried a big big man
15	the man from David from the girl arrived
12	the woman from Who from Mary loved Mary
4	a child for Mary ran a big child
3	David arrived David to John kissed a child
12	John from Who kissed the man to David
22	a girl knows from the woman for John
10	John went David for a cheap big child
6	a cheap woman kissed a cheap woman knows
11	the big cheap child says from a girl
8	John says a big child for the woman
3	a big man to Who hated a bells
5	Mary to a pretty pretty pretty child went
24	the child kissed for David from a bells
11	John from a cheap man went to Mary
6	the cheap girl from a child fell David
4	John fell David toll David for David cried
7	the big bells says David for Who ran
5	the man from a big pretty woman fell
19	Mary cried John from David for a bells
15	the child fell the pretty child from Who
16	David went for David from a big girl
10	Mary kissed a big child hated for Who
13	a girl toll John knows Mary to John
8	the big cheap cheap cheap girl fell John
8	a big big big man knows Who says
