# Copyright (c) 2026 Joseph Potashnik. Submitted for peer review to JMLR. Do not distribute or use without permission.
# Samples of Target EnglishFragmentWithADJ.txt #
Count	Sentence
31	Who ran
22	the bells fell
21	David loved David
14	David hated a child
12	the child hated John
19	the cheap man fell
15	Mary says John fell
9	Mary arrived to Who
19	Mary went for the woman
14	David knows the child cried
12	Mary hated a pretty girl
14	a pretty girl loved Who
20	a child loved the girl
16	a woman says David fell
16	a child arrived to Mary
9	Who knows Mary hated David
14	the pretty big bells ran
13	John says the pretty girl ran
10	a bells knows a girl fell
10	the man toll for a man
19	Who says John toll to Mary
15	a girl knows Mary kissed Who
13	a pretty cheap cheap man cried
17	the pretty girl toll from John
21	Mary says John knows David ran
9	a pretty pretty bells loved Who
15	David says Mary hated the man
10	the bells kissed a cheap man
8	John toll for the pretty child
21	Mary hated the big cheap child
14	a big girl says John cried
9	a cheap woman hated a girl
15	David says the man loved David
3	the man knows Who hated the bells
10	the big girl went for a child
12	John arrived from the pretty cheap woman
10	a big cheap girl hated a child
13	John knows John knows John hated John
3	John says a bells kissed the woman
14	Mary says John knows the girl fell
13	a pretty girl loved a pretty man
10	a bells knows the bells loved John
14	a man knows David toll for David
10	a child says Mary knows David cried
16	John says a cheap cheap girl ran
11	the girl says a big man fell
13	Who says John loved a cheap man
13	the cheap girl knows the girl ran
12	a pretty big man says David cried
22	a cheap pretty child arrived for John
11	a big big big big child fell
12	Mary loved the cheap pretty cheap woman
7	a child went to a cheap woman
13	the bells loved the pretty big girl
2	Mary knows the woman says John cried
8	David knows a big bells loved John
14	David knows Mary toll to the girl
17	Who knows a woman went from Mary
11	the cheap big cheap woman kissed Mary
18	a pretty woman knows Mary loved John
9	a big cheap man knows the child cried
9	the girl knows a child went to Mary
11	Mary knows David knows Who knows Mary cried
12	a big cheap pretty cheap bells kissed Mary
8	a big child says Who kissed a girl
12	the big pretty cheap man says David ran
13	the big girl knows John arrived to Who
12	the pretty man says a bells kissed Mary
18	the big cheap cheap man arrived for John
14	Mary knows the girl knows the man fell
14	a bells says a big child hated Mary
8	Mary says the pretty man toll to David
10	the man knows a man loved a bells
7	the big girl says the big woman cried
11	John says the cheap big woman loved David
10	the pretty big man kissed the big bells
17	the cheap big big cheap cheap bells fell
6	David says the pretty man hated a girl
9	Who says a child toll to a girl
9	a big cheap man went for a man
7	Mary says the pretty bells says Mary fell
7	Mary says the pretty big pretty man ran
6	the big bells loved a big pretty woman
9	David kissed the cheap big cheap cheap child
11	John knows David says a woman loved Who
8	Mary knows John loved the cheap big girl
17	Mary knows Mary says the big woman fell
