# Copyright (c) 2026 Joseph Potashnik.
# Licensed under the MIT License. See LICENSE.txt for details.
# Samples of Target PalindromeLang.txt #
Count	Sentence
60	
35	a
26	b
39	a a
33	b b
19	a a a
18	b a b
19	b b b
17	a b a
34	a a a a
32	b b b b
27	b a a b
23	a b b a
10	a a b a a
7	a b a b a
13	b b b b b
15	a a a a a
14	b a b a b
9	b a a a b
12	a b b b a
9	b b a b b
11	a a a a a a
18	a b b b b a
23	b a a a a b
21	b a b b a b
18	a b a a b a
13	b b b b b b
19	a a b b a a
21	b b a a b b
11	b a a b a a b
7	a b b a b b a
10	a b a b a b a
10	a a b b b a a
5	a b a a a b a
5	b a b a b a b
14	a a a b a a a
8	b b b a b b b
5	b a a a a a b
8	b b a b a b b
7	b b a a a b b
9	a a a a a a a
6	a b b b b b a
11	b a b b b a b
18	a a b a b a a
10	b b b b b b b
20	b a a a a a a b
14	b a b a a b a b
16	b a b b b b a b
13	a b b b b b b a
12	a b a b b a b a
10	a a a a a a a a
11	b b a a a a b b
16	a b a a a a b a
18	a a b a a b a a
21	a a a b b a a a
19	b b a b b a b b
16	b a a b b a a b
15	a b b a a b b a
10	b b b a a b b b
16	a a b b b b a a
14	b b b b b b b b
