# Copyright (c) 2026 Joseph Potashnik. Submitted for peer review to JMLR. Do not distribute or use without permission.
# Samples of Target SOVFragmentWithADJ.txt #
Count	Sentence
31	Who ran
22	the bells fell
21	David Mary hated
14	David a child hated
12	the child David kissed
19	the cheap man fell
15	Mary Who cried says
9	Mary David to went
19	Mary the big woman loved
14	David a woman for arrived
12	Mary David David loved knows
14	a pretty girl Who loved
20	a child the girl kissed
16	a woman Who cried knows
16	a child David to went
9	Who a man cried knows
14	the pretty big bells ran
13	John the pretty woman from went
10	a bells a child from toll
10	the man a big bells loved
19	Who Who a man loved says
15	a girl a girl fell says
13	a pretty cheap cheap man cried
17	the pretty girl John from toll
21	Mary Mary John for arrived says
9	a pretty pretty bells Mary loved
15	David the man David loved says
10	the bells John David kissed says
8	John the big cheap man hated
21	Mary John Mary cried knows knows
14	a big girl Who cried knows
9	a cheap woman a bells kissed
15	David the pretty man ran knows
3	the man a woman John loved knows
10	the big girl the big child hated
12	John a cheap pretty pretty child loved
10	a big cheap girl a bells hated
13	John John a child for arrived knows
3	John the cheap bells John loved says
14	Mary the girl David ran says knows
13	a pretty girl Who David loved says
10	a bells a cheap bells ran knows
14	a man John a girl hated knows
10	a child Who Mary for arrived knows
16	John the big cheap man from went
11	the girl the big bells to toll
13	Who Mary a woman fell knows says
13	the cheap girl a man from went
12	a pretty big man Who cried knows
22	a cheap pretty child David for arrived
11	a big big big big child fell
12	Mary Mary the cheap woman kissed says
7	a child the pretty cheap girl loved
13	the bells Mary Mary ran knows says
2	Mary a man Who to toll knows
8	David a cheap big bells ran knows
14	David John Mary John loved says says
17	Who a bells the woman kissed says
11	the cheap big cheap woman John kissed
18	a pretty woman a girl ran knows
9	a big cheap man a man for arrived
9	the girl a child a woman loved says
11	Mary John David a woman hated says knows
12	a big cheap pretty cheap bells John loved
8	a big child the woman John hated knows
12	the big pretty cheap man Mary cried says
13	the big girl John a child loved says
12	the pretty man the cheap bells fell says
18	the big cheap cheap man David for arrived
14	Mary a pretty girl David ran says says
14	a bells the big big child cried says
8	Mary the cheap man the girl loved knows
10	the man a big man Who hated knows
7	the big girl the pretty child to arrived
11	John the cheap cheap big woman ran knows
10	the pretty big man Mary Mary hated knows
17	the cheap big big cheap cheap bells fell
6	David the pretty pretty man John hated knows
9	Who the bells John John loved knows says
9	a big cheap man the big child kissed
7	Mary the cheap woman David to toll knows
7	Mary the pretty pretty big man to went
6	the big bells Who David cried says says
9	David John the cheap big child kissed knows
11	John John a pretty bells to went says
8	Mary John John Mary to toll knows knows
17	Mary a man the pretty child loved says
12	David the child the girl cried says knows
